--------- beginning of main
05-24 14:39:25.367 15421 15438 D Unity   : initOculus Java!
05-24 14:39:25.368 15421 15421 D Unity   : Oculus UI thread done.
05-24 14:39:29.906 15421 15438 E Unity   : DllNotFoundException: Unable to load DLL 'AudioPluginOculusSpatializer'. Tried the load the following dynamic libraries: Unable to load dynamic library 'AudioPluginOculusSpatializer' because of 'Failed to open the requested dynamic library (0x06000000) dlerror() = dlopen failed: library "AudioPluginOculusSpatializer" not found
05-24 14:39:29.906 15421 15438 E Unity   :   at ONSPAudioSource.OSP_SetGlobalVoiceLimit (System.Int32 VoiceLimit) [0x00000] in <00000000000000000000000000000000>:0 
05-24 14:39:29.906 15421 15438 E Unity   : 
05-24 14:39:29.934 15421 15438 I Unity   : Unity v2022.2.9f1, Oculus Utilities v1.82.0, OVRPlugin v1.82.0, SDK v1.0.26.
05-24 14:39:29.934 15421 15438 I Unity   : OVRManager:InitOVRManager()
05-24 14:39:29.934 15421 15438 I Unity   : 
05-24 14:39:29.936 15421 15438 I Unity   : SystemHeadset Oculus_Quest_2, API OpenXR
05-24 14:39:29.936 15421 15438 I Unity   : OVRManager:InitOVRManager()
05-24 14:39:29.936 15421 15438 I Unity   : 
05-24 14:39:29.937 15421 15438 I Unity   : OpenXR instance 0x100000000000002 session 0x200000000000020
05-24 14:39:29.937 15421 15438 I Unity   : OVRManager:InitOVRManager()
05-24 14:39:29.937 15421 15438 I Unity   : 
05-24 14:39:29.941 15421 15438 I Unity   : OVRPlugin.Media not initialized
05-24 14:39:29.941 15421 15438 I Unity   : OVRManager:StaticInitializeMixedRealityCapture(OVRMixedRealityCaptureConfiguration)
05-24 14:39:29.941 15421 15438 I Unity   : OVRManager:InitOVRManager()
05-24 14:39:29.941 15421 15438 I Unity   : 
05-24 14:39:29.946 15421 15438 I Unity   : Current display frequency 72, available frequencies [60, 60, 72, 72, 80, 80, 90, 90, 120, 120]
05-24 14:39:29.946 15421 15438 I Unity   : OVRManager:InitOVRManager()
05-24 14:39:29.946 15421 15438 I Unity   : 
05-24 14:39:29.947 15421 15438 W Unity   : Local Dimming feature is not supported
05-24 14:39:29.947 15421 15438 W Unity   : OVRManager:InitOVRManager()
05-24 14:39:29.947 15421 15438 W Unity   : 
05-24 14:39:29.976 15421 15438 I Unity   : OVRControllerHelp: Active controller type: Quest2 for product Oculus Quest (headset Oculus_Quest_2, hand HandRight)
05-24 14:39:29.976 15421 15438 I Unity   : OVRControllerHelper:InitializeControllerModels()
05-24 14:39:29.976 15421 15438 I Unity   : 
05-24 14:39:29.977 15421 15438 I Unity   : OVRControllerHelp: Active controller type: Quest2 for product Oculus Quest (headset Oculus_Quest_2, hand HandLeft)
05-24 14:39:29.977 15421 15438 I Unity   : OVRControllerHelper:InitializeControllerModels()
05-24 14:39:29.977 15421 15438 I Unity   : 
05-24 14:39:29.982 15421 15438 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:39:29.982 15421 15438 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:39:29.982 15421 15438 I Unity   : 
05-24 14:39:29.982 15421 15438 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:39:29.982 15421 15438 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:39:29.982 15421 15438 I Unity   : 
05-24 14:39:29.987 15421 15438 I Unity   : The current MSAA level is 0, but the recommended MSAA level is 4. Switching to the recommended level.
05-24 14:39:29.987 15421 15438 I Unity   : OVRManager:Update()
05-24 14:39:29.987 15421 15438 I Unity   : 
05-24 14:39:29.987 15421 15438 I Unity   : [OVRManager] HMDAcquired event
05-24 14:39:29.987 15421 15438 I Unity   : OVRManager:Update()
05-24 14:39:29.987 15421 15438 I Unity   : 
05-24 14:39:29.988 15421 15438 I Unity   : [OVRManager] HMDMounted event
05-24 14:39:29.988 15421 15438 I Unity   : OVRManager:Update()
05-24 14:39:29.988 15421 15438 I Unity   : 
05-24 14:39:29.989 15421 15438 I Unity   : [OVRManager] VrFocusAcquired event
05-24 14:39:29.989 15421 15438 I Unity   : OVRManager:Update()
05-24 14:39:29.989 15421 15438 I Unity   : 
05-24 14:39:29.991 15421 15438 I Unity   : [OVRManager] TrackingAcquired event
05-24 14:39:29.991 15421 15438 I Unity   : OVRManager:Update()
05-24 14:39:29.991 15421 15438 I Unity   : 
05-24 14:39:29.992 15421 15438 I Unity   : Recenter event detected
05-24 14:39:29.992 15421 15438 I Unity   : OVRDisplay:Update()
05-24 14:39:29.992 15421 15438 I Unity   : OVRManager:Update()
05-24 14:39:29.992 15421 15438 I Unity   : 
05-24 14:39:30.054 15421 15438 W Unity   : Ignoring depth surface store action as it is memoryless
05-24 14:39:32.215 15421 15438 I Unity   : RightHandAnchor closed
05-24 14:39:32.215 15421 15438 I Unity   : HandController:handle_controller_behavior()
05-24 14:39:32.215 15421 15438 I Unity   : 
05-24 14:39:32.298 15421 15789 W Unity   : The referenced script on this Behaviour (Game Object 'Customer') is missing!
05-24 14:39:32.298 15421 15789 W Unity   : The referenced script on this Behaviour (Game Object 'Customer') is missing!
05-24 14:39:32.408 15421 15438 I Unity   : [OVRManager] OnDestroy
05-24 14:39:32.408 15421 15438 I Unity   : OVRManager:OnDestroy()
05-24 14:39:32.408 15421 15438 I Unity   : 
05-24 14:39:33.226 15421 15438 I Unity   : Unity v2022.2.9f1, Oculus Utilities v1.82.0, OVRPlugin v1.82.0, SDK v1.0.26.
05-24 14:39:33.226 15421 15438 I Unity   : OVRManager:InitOVRManager()
05-24 14:39:33.226 15421 15438 I Unity   : 
05-24 14:39:33.226 15421 15438 I Unity   : SystemHeadset Oculus_Quest_2, API OpenXR
05-24 14:39:33.226 15421 15438 I Unity   : OVRManager:InitOVRManager()
05-24 14:39:33.226 15421 15438 I Unity   : 
05-24 14:39:33.227 15421 15438 I Unity   : OpenXR instance 0x100000000000002 session 0x200000000000020
05-24 14:39:33.227 15421 15438 I Unity   : OVRManager:InitOVRManager()
05-24 14:39:33.227 15421 15438 I Unity   : 
05-24 14:39:33.227 15421 15438 I Unity   : Current display frequency 72, available frequencies [60, 60, 72, 72, 80, 80, 90, 90, 120, 120]
05-24 14:39:33.227 15421 15438 I Unity   : OVRManager:InitOVRManager()
05-24 14:39:33.227 15421 15438 I Unity   : 
05-24 14:39:33.227 15421 15438 W Unity   : Local Dimming feature is not supported
05-24 14:39:33.227 15421 15438 W Unity   : OVRManager:InitOVRManager()
05-24 14:39:33.227 15421 15438 W Unity   : 
05-24 14:39:33.245 15421 15438 I Unity   : Inside start door 
05-24 14:39:33.245 15421 15438 I Unity   : DoorScript:Start()
05-24 14:39:33.245 15421 15438 I Unity   : 
05-24 14:39:33.246 15421 15438 I Unity   : OVRControllerHelp: Active controller type: Quest2 for product Oculus Quest (headset Oculus_Quest_2, hand HandRight)
05-24 14:39:33.246 15421 15438 I Unity   : OVRControllerHelper:InitializeControllerModels()
05-24 14:39:33.246 15421 15438 I Unity   : 
05-24 14:39:33.249 15421 15438 I Unity   : OVRControllerHelp: Active controller type: Quest2 for product Oculus Quest (headset Oculus_Quest_2, hand HandLeft)
05-24 14:39:33.249 15421 15438 I Unity   : OVRControllerHelper:InitializeControllerModels()
05-24 14:39:33.249 15421 15438 I Unity   : 
05-24 14:39:33.252 15421 15438 I Unity   : trigger enter
05-24 14:39:33.253 15421 15438 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:39:33.253 15421 15438 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:39:33.253 15421 15438 I Unity   : 
05-24 14:39:33.253 15421 15438 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:39:33.253 15421 15438 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:39:33.253 15421 15438 I Unity   : 
05-24 14:39:33.254 15421 15438 I Unity   : Inside Door OnTriggerEnter 
05-24 14:39:33.254 15421 15438 I Unity   : DoorScript:OnTriggerEnter(Collider)
05-24 14:39:33.254 15421 15438 I Unity   : 
05-24 14:39:33.254 15421 15438 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:39:33.254 15421 15438 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:39:33.254 15421 15438 I Unity   : 
